,line,day_of_week,hour,day,month,count
3032,D,1,21,21,6,2
3033,J,5,1,18,6,1
3034,4,4,6,10,6,1
3035,6,4,9,10,6,4
3036,Q,3,1,2,6,1
3037,D,3,12,9,6,8
3038,E,0,4,20,6,2
3039,M,4,6,17,6,10
3040,A,5,2,18,6,10
3041,E,2,7,15,6,8
3042,E,5,1,25,6,15
3043,6,3,10,30,6,14
3044,E,0,10,20,6,8
3045,3,6,18,19,6,6
3046,R,6,12,5,6,10
3047,1,0,12,6,6,7
3048,5,0,7,6,6,1
3049,F,1,6,21,6,8
3050,1,6,11,5,6,13
3051,5,1,19,7,6,1
3052,R,4,9,17,6,4
3053,D,6,22,26,6,1
3054,4,5,13,18,6,5
3055,N,3,8,9,6,5
3056,7,2,22,8,6,1
3057,2,6,1,5,6,5
3058,M,2,22,8,6,5
3059,C,3,18,23,6,16
3060,A,3,18,2,6,8
3061,L,6,16,19,6,3
3062,R,1,17,7,6,9
3063,F,4,12,10,6,11
3064,1,2,6,15,6,9
3065,2,0,22,20,6,4
3066,M,4,21,24,6,5
3067,4,5,17,18,6,8
3068,N,0,3,20,6,1
3069,N,2,19,22,6,9
3070,5,5,11,4,6,5
3071,D,5,20,4,6,6
3072,D,6,0,12,6,5
3073,E,6,6,5,6,3
3074,L,3,12,23,6,2
3075,F,2,23,8,6,16
3076,E,2,7,8,6,8
3077,C,3,23,16,6,8
3078,3,3,7,23,6,4
3079,D,2,4,8,6,1
3080,2,3,9,16,6,6
3081,C,5,9,11,6,17
3082,E,1,16,28,6,4
3083,6,1,18,28,6,4
3084,R,3,21,2,6,16
3085,3,0,5,20,6,1
3086,1,5,7,18,6,4
3087,A,6,19,5,6,4
3088,7,2,13,29,6,1
3089,A,2,12,8,6,10
3090,Q,2,8,29,6,2
3091,D,6,5,19,6,1
3092,C,0,13,13,6,10
3093,J,5,18,25,6,1
3094,R,3,23,2,6,8
3095,N,6,16,19,6,13
3096,N,2,1,1,6,2
3097,M,0,22,13,6,4
3098,4,5,8,18,6,7
3099,6,5,5,11,6,4
3100,N,5,6,11,6,1
3101,5,4,13,10,6,1
3102,R,2,7,15,6,12
3103,R,0,13,27,6,10
3104,1,3,13,16,6,15
3105,Z,5,6,18,6,1
3106,7,1,0,28,6,2
3107,R,3,16,2,6,7
3108,3,6,9,5,6,3
3109,GS,2,10,29,6,2
3110,Q,0,7,13,6,3
3111,A,0,23,6,6,6
3112,1,1,6,14,6,38
3113,5,1,20,21,6,2
3114,N,5,20,18,6,15
3115,L,3,2,23,6,3
3116,6,1,6,7,6,3
3117,6,0,8,20,6,8
3118,2,6,6,12,6,3
3119,N,4,4,17,6,3
3120,A,0,21,6,6,6
3121,J,1,14,14,6,1
3122,2,0,23,27,6,4
3123,D,0,10,13,6,1
3124,5,5,1,11,6,1
3125,C,1,6,7,6,16
3126,1,1,5,14,6,8
3127,G,3,1,16,6,1
3128,A,3,16,16,6,3
3129,3,2,22,22,6,4
3130,N,2,19,29,6,11
3131,M,4,12,10,6,6
3132,4,2,2,8,6,1
3133,F,3,0,2,6,5
3134,A,2,14,15,6,12
3135,2,5,12,18,6,3
3136,6,3,19,23,6,14
3137,L,3,11,2,6,3
3138,6,3,7,2,6,8
3139,3,6,3,26,6,3
3140,1,2,11,1,6,22
3141,R,1,23,28,6,10
3142,M,1,7,14,6,10
3143,A,5,11,25,6,11
3144,R,0,16,27,6,15
3145,L,3,11,9,6,1
3146,3,2,2,22,6,1
3147,1,5,6,11,6,7
3148,6,6,0,26,6,7
3149,3,2,8,22,6,5
3150,L,3,9,2,6,3
3151,6,3,15,23,6,11
3152,2,4,18,17,6,3
3153,R,0,10,20,6,3
3154,L,6,23,12,6,2
3155,3,3,2,2,6,1
3156,1,2,23,29,6,18
3157,A,1,0,14,6,6
3158,3,1,19,14,6,3
3159,2,3,10,16,6,1
3160,R,5,17,11,6,12
3161,L,6,6,12,6,2
3162,D,3,23,16,6,9
3163,F,6,7,19,6,2
3164,J,6,17,19,6,1
3165,R,0,20,27,6,13
3166,1,2,9,22,6,12
3167,N,6,23,26,6,2
3168,7,3,20,16,6,1
3169,F,3,6,2,6,12
3170,C,3,6,9,6,17
3171,F,1,0,7,6,6
3172,3,4,22,24,6,3
3173,N,0,19,27,6,11
3174,1,3,2,9,6,3
3175,D,1,12,21,6,4
3176,F,3,7,23,6,4
3177,E,6,9,19,6,8
3178,Z,5,0,18,6,1
3179,1,0,21,6,6,7
3180,6,3,15,16,6,10
3181,M,2,7,29,6,4
3182,E,5,23,4,6,22
3183,F,4,1,17,6,3
3184,E,6,11,19,6,5
3185,L,2,14,1,6,2
3186,A,0,10,6,6,15
3187,E,3,4,16,6,5
3188,F,6,9,19,6,8
3189,E,0,9,27,6,5
3190,C,3,12,30,6,8
3191,E,3,23,2,6,16
3192,4,5,22,25,6,4
3193,7,4,13,17,6,1
3194,M,0,13,20,6,14
3195,7,1,7,28,6,4
3196,D,0,2,6,6,1
3197,7,3,5,16,6,1
3198,F,5,23,4,6,12
3199,1,6,6,5,6,10
3200,2,5,4,25,6,3
3201,F,3,0,30,6,9
3202,F,0,22,20,6,9
3203,N,5,18,18,6,17
3204,1,0,21,20,6,24
3205,D,0,0,6,6,2
3206,6,0,17,27,6,15
3207,F,5,11,4,6,7
3208,F,4,18,3,6,10
3209,E,4,0,3,6,15
3210,M,5,13,25,6,17
3211,F,3,10,9,6,16
3212,5,4,12,10,6,1
3213,L,1,0,7,6,1
3214,E,4,13,10,6,8
3215,4,4,9,10,6,7
3216,3,2,2,29,6,1
3217,3,1,15,7,6,5
3218,F,2,18,29,6,18
3219,4,6,19,12,6,5
3220,3,0,1,13,6,1
3221,6,1,7,14,6,5
3222,3,4,10,3,6,6
3223,Q,5,4,18,6,2
3224,Q,2,4,15,6,1
3225,6,3,2,16,6,4
3226,M,5,8,18,6,5
3227,3,6,20,26,6,6
3228,5,6,19,5,6,1
3229,2,1,2,21,6,1
3230,5,4,0,17,6,3
3231,M,2,18,22,6,19
3232,7,4,15,10,6,1
3233,R,5,23,25,6,9
3234,Q,5,6,18,6,2
3235,4,5,13,11,6,5
3236,N,5,21,18,6,9
3237,1,6,19,19,6,37
3238,1,0,9,6,6,11
3239,L,3,2,2,6,6
3240,G,5,2,4,6,1
3241,5,6,15,19,6,5
3242,5,0,7,20,6,2
3243,J,6,10,5,6,1
3244,L,0,0,27,6,1
3245,J,1,9,28,6,2
3246,A,5,13,18,6,9
3247,3,2,17,15,6,1
3248,N,2,12,8,6,13
3249,R,0,9,20,6,5
3250,J,4,15,3,6,1
3251,J,2,17,15,6,1
3252,Q,2,8,15,6,6
3253,6,3,6,16,6,5
3254,A,0,22,13,6,9
3255,A,6,2,5,6,6
3256,E,3,21,16,6,24
3257,2,1,1,7,6,1
3258,R,4,9,3,6,12
3259,M,6,12,26,6,8
3260,GS,3,12,16,6,1
3261,2,0,22,6,6,2
3262,C,3,21,2,6,16
3263,2,6,18,19,6,6
3264,C,5,20,4,6,12
3265,N,4,18,24,6,16
3266,3,6,4,5,6,1
3267,Z,5,1,11,6,1
3268,1,3,11,2,6,9
3269,7,0,22,27,6,1
3270,5,0,17,27,6,2
3271,Z,5,23,4,6,2
3272,M,0,10,20,6,7
3273,Q,5,1,18,6,6
3274,7,2,22,1,6,1
3275,C,6,11,26,6,24
3276,3,2,17,8,6,3
3277,N,4,18,17,6,9
3278,J,2,22,29,6,1
3279,A,2,13,22,6,10
3280,N,0,17,6,6,4
3281,J,5,2,4,6,1
3282,2,2,13,8,6,4
3283,Z,0,16,13,6,1
3284,J,4,18,24,6,1
3285,6,6,2,19,6,3
3286,F,5,8,4,6,12
3287,R,4,7,3,6,4
3288,N,2,3,8,6,1
3289,2,2,19,15,6,2
3290,5,5,19,18,6,3
3291,7,0,15,13,6,2
3292,1,4,20,3,6,8
3293,C,3,19,2,6,27
3294,M,1,6,28,6,5
3295,E,5,10,25,6,12
3296,A,2,15,22,6,6
3297,Q,1,17,14,6,10
3298,M,0,14,20,6,7
3299,A,4,2,3,6,4
3300,N,5,6,25,6,1
3301,D,4,0,10,6,3
3302,5,3,22,30,6,3
3303,R,5,14,18,6,12
3304,5,5,13,25,6,5
3305,6,4,9,24,6,17
3306,F,2,15,22,6,15
3307,5,6,19,26,6,5
3308,R,6,4,19,6,3
3309,D,3,9,9,6,4
3310,F,0,21,20,6,7
3311,G,3,4,2,6,1
3312,A,0,23,20,6,9
3313,GS,1,13,28,6,1
3314,F,4,11,24,6,9
3315,4,2,6,22,6,1
3316,2,2,7,8,6,3
3317,1,0,8,6,6,12
3318,7,4,4,17,6,1
3319,G,4,1,17,6,1
3320,L,0,22,6,6,6
3321,5,1,22,7,6,1
3322,GS,3,12,2,6,3
3323,7,2,11,15,6,3
3324,F,3,7,16,6,11
3325,D,2,23,8,6,11
3326,J,1,14,28,6,1
3327,Z,4,23,17,6,1
3328,1,6,13,12,6,12
3329,5,3,18,9,6,1
3330,M,5,16,4,6,10
3331,A,3,16,2,6,7
3332,R,6,0,19,6,18
3333,4,0,16,20,6,1
3334,M,5,18,4,6,9
3335,A,4,12,3,6,6
3336,1,3,13,9,6,13
3337,M,5,2,11,6,7
3338,2,4,16,3,6,1
3339,4,5,1,4,6,5
3340,R,5,8,18,6,5
3341,C,0,11,6,6,20
