,line,day_of_week,hour,day,month,count
6576,N,2,1,13,1,1
6577,A,3,4,7,1,2
6578,F,2,16,6,1,7
6579,3,6,0,31,1,1
6580,C,1,8,5,1,9
6581,R,4,20,22,1,12
6582,Q,1,21,12,1,1
6583,L,6,21,17,1,4
6584,GS,2,23,13,1,1
6585,2,0,15,25,1,3
6586,D,2,16,20,1,7
6587,4,4,7,29,1,2
6588,M,6,23,10,1,3
6589,A,6,10,31,1,3
6590,C,4,11,29,1,7
6591,N,5,21,30,1,13
6592,5,2,11,13,1,2
6593,F,2,18,20,1,12
6594,2,6,12,3,1,2
6595,N,5,4,2,1,4
6596,4,5,18,16,1,2
6597,A,6,0,17,1,12
6598,F,4,14,15,1,14
6599,1,4,7,22,1,10
6600,7,2,2,6,1,1
6601,3,0,8,11,1,1
6602,3,3,15,7,1,3
6603,1,3,17,14,1,12
6604,2,1,11,26,1,1
6605,J,5,2,16,1,1
6606,1,3,2,28,1,4
6607,D,3,7,14,1,4
6608,M,1,23,19,1,4
6609,F,1,13,19,1,14
6610,L,1,16,26,1,3
6611,M,5,22,16,1,7
6612,M,4,19,8,1,8
6613,1,1,23,5,1,5
6614,4,3,3,7,1,1
6615,7,4,18,29,1,1
6616,3,1,5,19,1,3
6617,D,5,5,9,1,1
6618,4,6,20,10,1,3
6619,A,5,23,2,1,11
6620,D,1,4,19,1,2
6621,2,4,9,29,1,3
6622,6,6,15,10,1,10
6623,N,0,1,4,1,2
6624,R,4,9,1,1,4
6625,M,4,10,15,1,5
6626,Q,4,7,15,1,4
6627,N,6,1,17,1,11
6628,M,5,0,9,1,7
6629,2,5,11,9,1,6
6630,M,4,1,1,1,14
6631,A,1,18,12,1,8
6632,2,4,13,22,1,3
6633,A,2,20,27,1,10
6634,6,2,11,27,1,15
6635,Z,0,13,4,1,2
6636,5,0,17,18,1,4
6637,L,3,16,28,1,1
6638,R,5,1,9,1,11
6639,GS,2,14,13,1,3
6640,N,0,12,4,1,9
6641,D,4,17,29,1,3
6642,N,0,23,4,1,3
6643,5,6,0,31,1,1
6644,A,2,13,27,1,8
6645,A,4,16,15,1,10
6646,Q,3,12,7,1,8
6647,3,4,18,1,1,3
6648,1,2,0,13,1,5
6649,D,6,20,24,1,1
6650,Q,2,1,13,1,1
6651,7,2,4,27,1,2
6652,A,0,15,4,1,2
6653,C,2,12,6,1,10
6654,3,5,22,9,1,5
6655,N,4,10,29,1,7
6656,2,2,19,13,1,3
6657,1,1,14,5,1,9
6658,Z,1,13,26,1,2
6659,4,1,16,26,1,3
6660,2,0,22,4,1,4
6661,L,2,13,27,1,2
6662,C,1,20,19,1,13
6663,A,4,2,1,1,5
6664,L,5,18,9,1,7
6665,R,1,9,26,1,8
6666,3,6,11,31,1,5
6667,M,2,21,13,1,8
6668,3,5,7,30,1,2
6669,2,4,2,8,1,2
6670,N,5,11,16,1,9
6671,7,0,23,11,1,1
6672,Z,0,16,11,1,2
6673,J,5,11,2,1,2
6674,C,1,14,5,1,9
6675,3,2,4,20,1,3
6676,2,5,13,30,1,3
6677,2,3,8,28,1,3
6678,6,4,15,15,1,16
6679,Q,5,8,30,1,9
6680,J,4,12,8,1,1
6681,C,4,13,29,1,12
6682,2,0,5,18,1,3
6683,C,5,12,23,1,3
6684,L,0,18,18,1,3
6685,E,2,7,6,1,3
